,score,names_wga,dates_wga,names_artuk,dates_artuk,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma,artist_id_artuk,Unnamed: 9,Unnamed: 10,Unnamed: 11
1151,90.0,"[alexander pope, jr., alexander pope]","[1849, 1924]","[alexander, h., alexander, john h., alexander, jon h.]","[1905, 1915]",0,wiki_alexander-pope,"artuk_alexander, h.","(84, 51)",22.0,"[56, 9]"
1152,100.0,"[mantegna, andrea, andrea mantegna]","[1430, 1506]","[mantegna, andrea]","[1431, 1506]",1,wiki_andrea-mantegna,"artuk_mantegna, andrea, (1431-1506)","(137, 3851)",608.0,"[1, 0]"
1153,100.0,"[andrea solario, andrea solario (solari), solario, andrea]","[1460, 1525]","[solario, andrea]","[1465, 1524]",1,wiki_andrea-solario,"artuk_solario, andrea, (1465-1524)","(138, 5488)",44.0,"[5, 1]"
1154,100.0,[arthur lowe],"[1865, 1940]","[lowe, arthur]","[1866, 1940]",1,wiki_arthur-lowe,"artuk_lowe, arthur, (1866-1940)","(200, 3689)",19.0,"[1, 0]"
1155,100.0,"[benjamin vautier, ben, ben vautier]","[1935, 2099]","[levene, ben]","[1938, 2010]",0,wiki_ben,"artuk_levene, ben, (1938-2010)","(249, 3567)",52.0,"[3, 89]"
1156,100.0,"[benjamin vautier, ben, ben vautier]","[1935, 2099]","[maile, ben]","[1922, 2099]",0,wiki_ben,"artuk_maile, ben, (b.1922)","(249, 3824)",35.0,"[13, 0]"
1157,86.0,"[benito quinquela martín, benito quinquela martin]","[1890, 1977]","[ahearn, martin r., martin, r.]","[1918, 1928]",0,wiki_benito-quinquela-martin,"artuk_martin, r.","(252, 3896)",20.0,"[28, 49]"
1158,89.0,[charles robinson],"[1870, 1937]","[robinson, c.]","[1871, 1881]",0,wiki_charles-robinson,"artuk_robinson, c.","(355, 5032)",45.0,"[1, 56]"
1159,84.0,[charles robinson],"[1870, 1937]","[robinson, cayley, robinson, f. cayley, robinson, frederic cayley, robinson, frederick cayley]","[1862, 1927]",0,wiki_charles-robinson,"artuk_robinson, frederick cayley, (1862-1927)","(5033, 355)",68.0,"[8, 10]"
1160,89.0,[charles robinson],"[1870, 1937]","[pew, frederic g. robinson (mistress), pew, gertrude l., robinson, g.]","[1876, 1886]",0,wiki_charles-robinson,"artuk_robinson, g.","(355, 5034)",45.0,"[6, 51]"
