,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wiki+googleart+wga+meisterwerke+moma","artist_id_artuk","Unnamed: 9","Unnamed: 10","Unnamed: 11"
1741,100,"[vázquez, antonio]","[1483, 1563]","[vázquez, antonio]","[1485, 1563]",1,"wga_vázquez, antonio, (1483-1563)","artuk_vázquez, antonio, (1485-1563)","(8726, 21277)",3,
1742,100,"[wals, goffredo]","[1600, 1639]","[wals, goffredo]","[1605, 1638]",1,"wga_wals, goffredo, (1600-1639)","artuk_wals, goffredo, (1605-1638)","(8730, 21455)",6,
1743,100,"[ykens, frans]","[1601, 1692]","[ykens, frans]","[1601, 1693]",1,"wga_ykens, frans, (1601-1692)","artuk_ykens, frans, (1601-1693)","(8777, 22756)",9,
1744,100,"[zoppo, marco]","[1433, 1478]","[zoppo, marco]","[1432, 1478]",1,"wga_zoppo, marco, (1433-1478)","artuk_zoppo, marco, (1432-1478)","(8797, 22866)",9,
1745,100,"[zucca, jacopo del, zucchi, jacopo]","[1540, 1589]","[zucchi, jacopo]","[1542, 1596]",1,"wga_zucchi, jacopo, (1540-1596)","artuk_zucchi, jacopo, (1542-1596)","(8803, 22873)",15,
1746,92,"[adriaen van de venne, adriaen pietersz van de venne, venne, adriaen pietersz. van de]","[1589, 1662]","[van de veen, adriaen]","[1589, 1680]",1,"wiki_adriaen-van-de-venne","artuk_van de veen, adriaen, (1589-1680)","(20622, 21)",166,
1747,100,"[ay-o, iijima, ay-o (靉嘔); takao iijima, ai-ō, ai ō, takao, takao, iijima, iijima takao]","[1931, 2099]","[ts'ai, hsia-ling]","[1938, 2099]",0,"wiki_ay-o","artuk_ts'ai, hsia-ling, (b.1938)","(227, 20332)",17,
1748,100,"[bela kadar, béla kádár]","[1877, 1956]","[kádár, béla]","[1877, 1955]",1,"wiki_bela-kadar","artuk_kádár, béla, (1877-1955)","(248, 11594)",27,
1749,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[white, david ben]","[1965, 2099]",0,"wiki_ben","artuk_white, david ben, (b.1965)","(249, 21966)",31,
1750,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[cook, ben]","[1967, 2099]",0,"wiki_ben","artuk_cook, ben, (b.1967)","(249, 4245)",31,
1751,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[lloyd, ben]","[1973, 2099]",0,"wiki_ben","artuk_lloyd, ben, (b.1973)","(249, 12378)",30,
1752,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[whitaker, ben]","[1934, 2099]",0,"wiki_ben","artuk_whitaker, ben, (b.1934)","(249, 21952)",30,
1753,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[johnson, ben]","[1946, 2099]",0,"wiki_ben","artuk_johnson, ben, (b.1946)","(249, 10772)",32,
1754,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[pritchard, ben]","[1970, 2099]",0,"wiki_ben","artuk_pritchard, ben, (b.1970)","(249, 16442)",31,
1755,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[schonzeit, ben]","[1942, 2099]",0,"wiki_ben","artuk_schonzeit, ben, (b.1942)","(249, 18014)",30,
1756,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[ben-zenou, helena]","[1970, 2099]",0,"wiki_ben","artuk_ben-zenou, helena, (b.1970)","(249, 1450)",31,
1757,100,"[benjamin vautier, ben vautier, ben]","[1935, 2099]","[stammers, ben]","[1970, 2099]",0,"wiki_ben","artuk_stammers, ben, (b.1970)","(249, 19085)",31,
1758,100,"[carmen herrera]","[1915, 2009.0]","[herrera, carmen]","[1915, 1959.0]",1,"wiki_carmen-herrera","artuk_herrera, carmen, (b.1915)","(326, 9485)",18,
1759,100,"[adolphe jean-marie mouron, cassandre, a. m. cassandre]","[1901, 1968]","[costerus, a. m. j. m., douwes, a. m. j. m., m., a.]","[1910, 1950.0]",0,"wiki_cassandre","artuk_m., a.","(330, 12689)",93,
1760,90,"[david hare]","[1917, 1992]","[pare, david]","[1911, 1996]",0,"wiki_david-hare","artuk_pare, david, (1911-1996)","(455, 15485)",5,
1761,100,"[edward mitchell bannister, bannister, edward mitchell, bannister, edward m.]","[1833, 1901]","[bannister, edward]","[1820, 1916]",0,"wiki_edward-mitchell-bannister","artuk_bannister, edward, (1820-1916)","(530, 915)",22,
1762,100,"[eileen agar, eileen forrester agar]","[1899, 1991]","[agar, eileen, bard, eileen]","[1904, 1991]",1,"wiki_eileen-agar","artuk_agar, eileen, (1899-1991)","(540, 108)",64,
1763,100,"[elizabeth southerden thompson, lady butler, elizabeth thompson]","[1846, 1933]","[king, elizabeth thompson]","[1848, 1914]",0,"wiki_elizabeth-thompson","artuk_king, elizabeth thompson, (1848-1914)","(545, 11300)",58,
1764,100,"[françois arnal, francois arnal]","[1924, 2012]","[arnal, françois]","[1924, 2099]",1,"wiki_francois-arnal","artuk_arnal, françois, (b.1924)","(657, 542)",36,
1765,100,"[frederick morgan]","[1850, 1927]","[morgan, owen frederick]","[1867, 1926.0]",0,"wiki_frederick-morgan","artuk_morgan, owen frederick, (b.1867)","(689, 14298)",59,
1766,100,"[bellows, george w., bellows, george, george wesley bellows, bellows, george wesley, george bellows]","[1882, 1925]","[w., w.]","[1820.0, 1937.0]",0,"wiki_george-bellows","artuk_w., w.","(725, 21281)",249,
1767,100,"[george harvey]","[1806, 1876]","[george st. george, harvey, g., harvey, george]","[1799, 1880]",1,"wiki_george-harvey","artuk_harvey, george, (1806-1876)","(731, 9109)",266,
1768,100,"[arcimboldo, giuseppe, giuseppe arcimboldo]","[1526, 1593]","[arcimboldo, giuseppe]","[1527, 1593]",1,"wiki_giuseppe-arcimboldo","artuk_arcimboldo, giuseppe, (1527-1593)","(808, 503)",207,
1769,100,"[hans baldung grien (grün), baldung grien, hans, hans baldung]","[1480, 1545]","[baldung, hans]","[1484, 1545]",1,"wiki_hans-baldung","artuk_baldung, hans, (1484-1545)","(874, 843)",327,
1770,100,"[henri michaux, michaux, henri eugène marie ghislain, h. m., michaux, henri, michaux, henrik]","[1899, 1984]","[smedley, j. h. m.]","[1908.0, 1910.0]",0,"wiki_henri-michaux","artuk_smedley, j. h. m., (active 1908-1910)","(917, 18662)",40,
1771,100,"[hercules pieterszoon seghers, segers, hercules, hercules seghers, seghers, hercules pietersz., seghers, hercules]","[1589, 1640]","[segers, hercules pietersz.]","[1589, 1638]",0,"wiki_hercules-seghers","artuk_segers, hercules pietersz., (1589-1638)","(933, 18172)",67,
1772,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[benham, barbara j.]","[1912, 1999]",0,"wiki_hovhannes-zardaryan","artuk_benham, barbara j., (1912-1999)","(956, 1466)",6,
