,score,names_wiki+googleart+wga+meisterwerke+moma+artuk,dates_wiki+googleart+wga+meisterwerke+moma+artuk,names_rijks,dates_rijks,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma+artuk,artist_id_rijks,idx,total_works_count,year_diff
728,100,"[deshays, jean-baptiste]","[1729, 1765]","[deshays, jean baptiste henri, jean baptiste henri deshays]","[1705, 1765]",1,"wga_deshays, jean-baptiste, (1729-1765)",rijks_rjgd-jean-baptiste-henri-deshays,"(6236, 2903)",3,"[24, 0]"
729,100,"[diana, giacinto]","[1731, 1804]","[diana, giacinto, giacinto diana]","[1703, 1808]",1,"wga_diana, giacinto, (1731-1804)",rijks_rjgd-giacinto-diana,"(6246, 1685)",2,"[28, 4]"
730,100,"[dolendo, zacharias]","[1561, 1602]","[dolendo, zacharias, zacharias dolendo]","[1561, 1604]",1,"wga_dolendo, zacharias, (1561-1602)",rijks_rjgd-zacharias-dolendo,"(6259, 5129)",105,"[0, 2]"
592,100,"[dorigny, michel, michel dorigny]","[1616, 1665]","[dorigny, michel, michel dorigny]","[1617, 1665]",1,"wga_dorigny, michel, (1616-1665)",rijks_rjgd-michel-dorigny,"(4354, 3857)",38,"[1, 0]"
731,100,"[drevet, pierre]","[1663, 1738]","[drevet, pierre, pierre drevet]","[1607, 1738]",1,"wga_drevet, pierre, (1663-1738)",rijks_rjgd-pierre-drevet,"(6277, 4343)",4,"[56, 0]"
732,94,"[dubbels, hendrik jakobsz.]","[1621, 1707]","[dubbels, hendrick jacobsz., hendrick jacobsz. dubbels]","[1605, 1710]",1,"wga_dubbels, hendrik jakobsz., (1621-1707)",rijks_rjgd-hendrick-jacobsz.-dubbels,"(6280, 1992)",10,"[16, 3]"
733,100,"[dubois-drahonet, alexandre-jean]","[1791, 1829]","[alexandre jean dubois drahonet, dubois drahonet, alexandre jean]","[1791, 1834]",1,"wga_dubois-drahonet, alexandre-jean, (1791-1829)",rijks_rjgd-alexandre-jean-dubois-drahonet,"(6281, 236)",5,"[0, 5]"
734,100,"[dubordieu, pieter]","[1609, 1678]","[dubordieu, pieter, pieter dubordieu]","[1608, 1678]",1,"wga_dubordieu, pieter, (1609-1678)",rijks_rjgd-pieter-dubordieu,"(6282, 4422)",5,"[1, 0]"
735,100,"[dubreuil, toussaint]","[1561, 1602]","[dubreuil, toussaint, toussaint dubreuil]","[1561, 1611]",1,"wga_dubreuil, toussaint, (1561-1602)",rijks_rjgd-toussaint-dubreuil,"(6284, 4881)",4,"[0, 9]"
736,100,"[dupérac, etienne]","[1525, 1601]","[dupérac, etienne, etienne dupérac]","[1525, 1604]",1,"wga_dupérac, etienne, (1525-1601)",rijks_rjgd-etienne-dupérac,"(6299, 1273)",12,"[0, 3]"
738,100,"[earlom, richard]","[1743, 1822]","[earlom, richard, richard earlom]","[1742, 1822]",1,"wga_earlom, richard, (1743-1822)",rijks_rjgd-richard-earlom,"(6309, 4615)",5,"[1, 0]"
739,100,"[esselens, jacob]","[1627, 1687]","[esselens, jacob, jacob esselens]","[1626, 1687]",1,"wga_esselens, jacob, (1627-1687)",rijks_rjgd-jacob-esselens,"(6330, 2378)",28,"[1, 0]"
740,100,"[eversdijck, willem]","[1616, 1671]","[eversdijck, willem, willem eversdijck]","[1620, 1671]",1,"wga_eversdijck, willem, (1616-1671)",rijks_rjgd-willem-eversdijck,"(6333, 5012)",6,"[4, 0]"
742,100,"[fargue, jacob elias la]","[1735, 1771]","[jacob elias la fargue, la fargue, jacob elias]","[1738, 1771]",1,"wga_fargue, jacob elias la, (1735-1771)",rijks_rjgd-jacob-elias-la-fargue,"(6349, 2375)",4,"[3, 0]"
743,100,"[fargue, paulus constantijn la]","[1729, 1782]","[fargue, paulus constantijn la, paulus constantijn la fargue]","[1701, 1782]",1,"wga_fargue, paulus constantijn la, (1729-1782)",rijks_rjgd-paulus-constantijn-la-fargue,"(6350, 4223)",44,"[28, 0]"
744,100,"[ferguson, william gowe, ferguson, william gouw]","[1632, 1695]","[ferguson, william gowe, william gowe ferguson]","[1662.0, 1684.0]",1,"wga_ferguson, william gowe, (1633-1695)",rijks_rjgd-william-gowe-ferguson,"(6355, 5087)",22,"[30.0, 11.0]"
200,100,"[ferrari, defendente, defendente ferrari]","[1485, 1540]","[defendente ferrari, ferrari, defendente]","[1526.0, 1528.0]",1,"wga_ferrari, defendente, (1485-1540)",rijks_rjgd-defendente-ferrari,"(2746, 1093)",8,"[41.0, 12.0]"
153,100,"[ferrari, gregorio de, gregorio de ferrari]","[1647, 1726]","[ferrari, gregorio de, gregorio de ferrari]","[1604, 1726]",1,"wga_ferrari, gregorio de, (1647-1726)",rijks_rjgd-gregorio-de-ferrari,"(2542, 1861)",13,"[43, 0]"
