,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wga","artist_id_artuk",
69,96,"[gérôme, jean-léon]","[1824, 1904]","[gérome, jean-léon]","[1824, 1904]",1,"gérôme, jean-léon, (1824-1904)","gérome, jean-léon, (1824-1904)",
4,96,"[antolinez, josé]","[1635, 1675]","[antolínez, josé]","[1635, 1675]",1,"antolinez, josé, (1635-1675)","antolínez, josé, (1635-1675)",
150,96,"[richter, johan]","[1665, 1745]","[richter, johann]","[1665, 1745]",1,"richter, johan, (1665-1745)","richter, johann, (1665-1745)",
12,96,"[bergh, gillis gillisz. de]","[1600, 1669]","[de berch, gillis gillisz.]","[1600, 1669]",1,"bergh, gillis gillisz. de, (1600-1669)","de berch, gillis gillisz., (1600-1669)",
182,96,"[tischbein, johann heinrich the younger]","[1742, 1808]","[tischbein, johann heinrich i]","[1722, 1789]",0,"tischbein, johann heinrich the younger, (1742-1808)","tischbein, johann heinrich i, (1722-1789)",
203,96,"[vos, marten de]","[1532, 1603]","[de vos, maarten]","[1532, 1603]",0,"vos, marten de, (1532-1603)","de vos, maarten, (1532-1603)",
181,96,"[tischbein, johann heinrich the elder]","[1722, 1789]","[tischbein, johann heinrich i]","[1722, 1789]",0,"tischbein, johann heinrich the elder, (1722-1789)","tischbein, johann heinrich i, (1722-1789)",
65,96,"[gossart, jan]","[1478, 1532]","[gossaert, jan]","[1478, 1532]",1,"gossart, jan, (1478-1532)","gossaert, jan, (1478-1532)",
77,96,"[herring, john frederick the younger]","[1820, 1907]","[herring i, john frederick]","[1795, 1865]",0,"herring, john frederick the younger, (1820-1907)","herring i, john frederick, (1795-1865)",
31,96,"[conca, tommaso]","[1734, 1822]","[conca, tommasso]","[1734, 1822]",1,"conca, tommaso, (1734-1822)","conca, tommasso, (1734-1822)",
16,96,"[bosschaert, jan-baptist]","[1667, 1746]","[bosschaert, jean-baptiste]","[1667, 1746]",1,"bosschaert, jan-baptist, (1667-1746)","bosschaert, jean-baptiste, (1667-1746)",
195,96,"[vermeer van haarlem, jan the elder]","[1628, 1691]","[vermeer van haarlem i, jan]","[1600, 1670]",0,"vermeer van haarlem, jan the elder, (1628-1691)","vermeer van haarlem i, jan, (1600-1670)",
37,96,"[dillens, adolphe-alexandre]","[1821, 1877]","[dillens, adolphe-alexander]","[1821, 1877]",1,"dillens, adolphe-alexandre, (1821-1877)","dillens, adolphe-alexander, (1821-1877)",
89,96,"[kobell, jan i]","[1755, 1833]","[kobell ii, jan]","[1778, 1814]",0,"kobell, jan i, (1755-1833)","kobell ii, jan, (1778-1814)",
170,96,"[sorgh, hendrick maertensz.]","[1610, 1670]","[sorgh, hendrik martensz.]","[1609, 1670]",1,"sorgh, hendrick maertensz., (1610-1670)","sorgh, hendrik martensz., (1609-1670)",
